issue_id,commit_id,method,score
MNG-575,3af4a18f485e7d10f404367bcb8985d8ea1ba32c,default,1
MNG-576,133d3c9330b8e7146b8208ed3463bedf53e61487,default,1
MNG-576,0cc696a40788d34edec8df6c147bc9a2a3f831b2,default,1
MNG-581,17fa8ba4ea4123c18ceb67a5a6ae536e63dbb6f6,default,1
MNG-595,f37561b2e3df14406c3944901a8e7102e58f8669,default,1
MNG-613,935dcdf0f73eddd13a67f18d79f8f27d455cf815,default,1
MNG-613,40738a5a8628e44aee17fcfc20d8c78fffed0dbc,default,1
MNG-613,3a4b91b3108aa8f0972f59cfc6d38d775c6d2688,default,1
MNG-613,02cc158420379643f40e005e8f4a8d2f398ed373,default,1
MNG-613,27ad44e1164e4239bd1d095b9057103ef0a5ff10,default,1
MNG-613,9c060b192a0bfda57e3e8fb2220b6f7930e60397,default,1
MNG-613,ba35fd59655956f507c0a856cac00d4f2065750d,default,1
MNG-613,3a4efa102918ee1254e01f5653697db7d700ddd2,default,1
MNG-613,cb2370199b6cf0c1c62bf36d568ac386780ff12f,default,1
MNG-613,00e365d2ced5674e3b8e542ba561cadbb52b90aa,default,1
MNG-613,8f3c207194a7c4f40bea6b3e885ab873315f160e,default,1
MNG-613,abd4ae6018ff815835cc95ce4639375bad5cb39a,default,1
MNG-613,e0457b02042e7009b32ed6d8bd92e8bf83436a16,default,1
MNG-616,f8cbb08498bc497d3f6b774c8a97c6a470933a0e,default,1
MNG-621,6508398316614bf1c63324281a40cb7d03fa5ef8,default,1
MNG-622,6508398316614bf1c63324281a40cb7d03fa5ef8,default,1
MNG-623,4de1c8c892e3c391e46c3e3be48ede5e6827f0a5,default,1
MNG-625,a4343cf767774b3049e02856b19db55f5a56133f,default,1
MNG-632,c23770947f4c3f7c37c793d017bf93d7ac134ff1,default,1
MNG-642,ee4e4bc62950dbd88d2469f96b7e9e53c530d1a5,default,1
MNG-643,78bd69c44c1857ac008f16213e34323b3f5939a4,default,1
MNG-652,cb41f94717bd043d9ae00012498a7ea04a5fbb39,default,1
MNG-653,7fd4c749fb3568f29dc0fbf7f31efd66107bec4f,default,1
MNG-662,786091aa6c674c4f1d01b2b70648511e60221c95,default,1
MNG-662,8f4b0deaaf3d9a4abdace5500d3a317402a4815b,default,1
MNG-662,094a5a4312d6f61319eb4f4e70fff791a633f068,default,1
MNG-663,120ade04b086e79d3b9fc6168e87e9d6b50ac9b7,default,1
MNG-669,def783e4cffbe91beea9454e2ccae2db1c2a1e2c,default,1
MNG-670,86c55a3bd13b6bd83d705ad4de8702cc78914ad2,default,1
MNG-670,3c461ef89d5b06bd26fc782625a9de05ebd2f2cb,default,1
MNG-686,155c0a69a72cce1eb5b2c79d4ad08e2abfcf5314,default,1
MNG-710,b88302c2099db0aa30dc4c41b6122c7c6c192765,default,1
