commit_id,commit_date,content,author,type
b8ec74d65dd16a9c840bf9f100cbe3ddcac33be8,Sat Apr 15 00:00:00 EDT 2006,update version of maven-settings git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394317 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
f64393776b1ad72664ebd321de055de305f723b9,Sat Apr 15 00:00:00 EDT 2006,props git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394315 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
55e7c9a00565f5c150a473da4e3e705289a43540,Sat Apr 15 00:00:00 EDT 2006, git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394314 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
5e5be884cc1f0b2c68561d777c3689593b59bb31,Sat Apr 15 00:00:00 EDT 2006,svn:ignore git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394313 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
860d78b1c0b3de68eec522ecc19e604693e5ea4e,Sat Apr 15 00:00:00 EDT 2006,o align the borrowed utilities from plexus with plexus' package structure so that we can just drop in   new versions of classes when necessary. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394310 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
6e9780e30e4c0d5d0d12e9f599840eb72d2b68cd,Fri Apr 14 00:00:00 EDT 2006,o look for the maven.repo.local system property first like maven does itself o a hack to prevent velocity resource loading errors from triggering failures. when generating archetypes in tests   the velocity resources loader always freaks out and cries error when it's not fatal. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394244 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
910a5376ceb422c5c005d3239031f2ee8fe5c18b,Fri Apr 14 00:00:00 EDT 2006,Ignore parent entries git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@394195 13f79535-47bb-0310-9956-ffa450edef68 Carlos Sanchez Gonzalez,Carlos Sanchez Gonzalez,commit
eec4495d7390d948b61021458703beca299ef259,Wed Apr 12 00:00:00 EDT 2006,o little script to run through different versions of maven git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@393392 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
37448483a3751a09a964a1bfa3b2368701586591,Wed Apr 12 00:00:00 EDT 2006,o adding some tests for mng-2220 and 2223 git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@393391 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
036512bef91795887268094b4919856ee3a1dc00,Mon Apr 10 00:00:00 EDT 2006,Updating bootstrap versions to 2.0.5-SNAPSHOT. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393121 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
1ba0a07d4e48c3ce4eb9576e08da18af77bbaf92,Mon Apr 10 00:00:00 EDT 2006,[maven-release-plugin] prepare for next development iteration git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393097 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
454eda3b1344e22ae7d1de1cd64a6f5117b15288,Mon Apr 10 00:00:00 EDT 2006,[maven-release-plugin] prepare release maven-embedder-2.0.4 git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393095 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
d2e192e50e84071cc5a641b7e7616a1cd1d0a08d,Mon Apr 10 00:00:00 EDT 2006,Commenting out the clover plugin to allow the release to proceed...I'm having trouble with an expired license. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393092 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
1b26422e73af74413bf3829f36d589b6b5b02d4f,Mon Apr 10 00:00:00 EDT 2006,updating the ${mavenVersion} property value to 2.0.4. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393090 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
6d8abc0fe2e0fabbdb9cb16eb2d098f37e1e4fd9,Mon Apr 10 00:00:00 EDT 2006,[maven-release-plugin] prepare for next development iteration git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393084 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
a60e39025617d757288ead55c1f38d2e58f98900,Mon Apr 10 00:00:00 EDT 2006,[maven-release-plugin] prepare release maven-artifact-ant-2.0.4 git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393082 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
63425580aaabaadce6af9d8616ce5b908224a2a2,Mon Apr 10 00:00:00 EDT 2006,[maven-release-plugin] prepare for next development iteration git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393060 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
b22b0cc9e2e543bf4c0f8b1f7691d34a1cce647c,Mon Apr 10 00:00:00 EDT 2006,Merging 393053 from maven-2.0.x branch  to fix some jdk5 method calls that crept in. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@393059 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
d95ef1ccca09f293d4767a1cdeeafe1356d15904,Mon Apr 10 00:00:00 EDT 2006,[maven-release-plugin] prepare release maven-2.0.4 git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393057 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
2a5d260d3f8f7672ae866f99d13ef7c1d40fe705,Mon Apr 10 00:00:00 EDT 2006,Fixing the pom to allow asf snapshot repo to be searchable for plugin and site-skin releases. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393056 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
d72818a561bbca201b5ce45a805a40742dc85a53,Mon Apr 10 00:00:00 EDT 2006,Fixing JDK5 method call that crept in... git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393053 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
4163b6ec66ec9e4946d3b159e0abdeae3ddb7852,Mon Apr 10 00:00:00 EDT 2006,Fixing jxr plugin artifactId. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393042 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
af0ebb3d70b1572bdee4b41357c835e89e636a7c,Mon Apr 10 00:00:00 EDT 2006,Commenting out the changelog plugin until it settles down. It won't work for today's release. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393041 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
8937fd353d5bd2fe630fca9d4397ee708da24794,Mon Apr 10 00:00:00 EDT 2006,Merging 393029 from branch  to fix the case where -DperformRelease=true injects additional plugins into the test POMs. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@393031 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
